CREATE TABLE sales (
    Transaction_ID   NUMBER(10),
    Sales_Date       DATE,
    Product_Category VARCHAR2(512),
    Product_Name     VARCHAR2(512),
    Units_Sold       NUMBER(10),
    Unit_Price       NUMBER(10,2),
    Total_Revenue    NUMBER(12,2),
    Sales_Region     VARCHAR2(512),
    Payment_Method   VARCHAR2(512),
    PRIMARY KEY (Transaction_ID)
);


INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10001',TO_DATE ('2024-01-01','YYYY-MM-DD'), 'Electronics', 'iPhone 14 Pro', '2', '999.99', '1999.98', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10002',TO_DATE('2024-01-02','YYYY-MM-DD'), 'Home Appliances', 'Dyson V11 Vacuum', '1', '499.99', '499.99', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10003',TO_DATE ('2024-01-03','YYYY-MM-DD'), 'Clothing', 'Levi''s 501 Jeans', '3', '69.99', '209.97', 'Asia', 'Debit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10004', TO_DATE ('2024-01-04','YYYY-MM-DD'), 'Books', 'The Da Vinci Code', '4', '15.99', '63.96', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10005', TO_DATE ('2024-01-05','YYYY-MM-DD'), 'Beauty Products', 'Neutrogena Skincare Set', '1', '89.99', '89.99', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10006', TO_DATE ('2024-01-06','YYYY-MM-DD'), 'Sports', 'Wilson Evolution Basketball', '5', '29.99', '149.95', 'Asia', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10007', TO_DATE ('2024-01-07','YYYY-MM-DD'), 'Electronics', 'MacBook Pro 16-inch', '1', '2499.99', '2499.99', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10008', TO_DATE ('2024-01-08','YYYY-MM-DD'), 'Home Appliances', 'Blueair Classic 480i', '2', '599.99', '1199.98', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10009', TO_DATE ('2024-01-09','YYYY-MM-DD'), 'Clothing', 'Nike Air Force 1', '6', '89.99', '539.94', 'Asia', 'Debit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10010', TO_DATE ('2024-01-10','YYYY-MM-DD'), 'Books', 'Dune by Frank Herbert', '2', '25.99', '51.98', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10011', TO_DATE ('2024-01-11','YYYY-MM-DD'), 'Beauty Products', 'Chanel No. 5 Perfume', '1', '129.99', '129.99', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10012', TO_DATE ('2024-01-12','YYYY-MM-DD'), 'Sports', 'Babolat Pure Drive Tennis Racket', '3', '199.99', '599.97', 'Asia', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10013', TO_DATE ('2024-01-13','YYYY-MM-DD'), 'Electronics', 'Samsung Galaxy Tab S8', '2', '749.99', '1499.98', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10014', TO_DATE ('2024-01-14','YYYY-MM-DD'), 'Home Appliances', 'Keurig K-Elite Coffee Maker', '1', '189.99', '189.99', 'Europe', 'PayPal');
